,poistion,track_name,artist,popularity,followers,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
0,1,Shape of You,Ed Sheeran,85,105408325,"['pop', 'uk pop']",0.825,0.652,1,-3.183,0,0.0802,0.0,0.0931,0.931,95.977,233713,4,False,7qiZfU4dY1lWllzX7mPBI3,6eUKZXaKkcviH0Ku9w2n3V,÷ (Deluxe),2017
1,2,Believer,Imagine Dragons,87,43537945,"['modern rock', 'rock']",0.776,0.78,10,-4.374,0,0.128,0.0,0.081,0.666,124.949,204347,4,False,0pqnGHJpmpxLKifKRmU6WP,53XhwfbYqKCa1cC15pYq2q,Evolve,2017
2,3,Despacito,Luis Fonsi,79,10713839,"['latin pop', 'puerto rican pop']",0.655,0.797,2,-4.787,1,0.153,0.0,0.067,0.839,177.928,229360,4,False,6habFhsOp2NvshLv26DqMb,4V8Sr092TqfHkfAA5fXXqG,VIDA,2017
3,4,Bad Things (with Camila Cabello),Machine Gun Kelly,71,4874369,"['ohio hip hop', 'pop', 'pop rap']",0.697,0.691,2,-4.757,1,0.146,0.0,0.185,0.305,137.853,239293,4,False,1PSBzsahR2AKwLJgx8ehBj,6TIYQ3jFPwQSRmorSezPxX,bloom,2017
4,5,Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,74,4981043,"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",0.72,0.763,9,-4.068,0,0.0523,0.0,0.18,0.742,101.965,251088,4,False,5knuzwU65gJK7IF5yJsuaW,6MDME20pz9RveH9rEXvrOM,Rockabye (feat. Sean Paul & Anne-Marie),2017
5,6,Havana (feat. Young Thug),Camila Cabello,79,28592183,"['dance pop', 'pop', 'post-teen pop']",0.765,0.523,2,-4.333,1,0.03,3.56e-05,0.132,0.394,104.988,217307,4,False,1rfofaqEpACxVEHIZBJe6W,4nDoRrQiYLoBzwC5BhVJzF,Camila,2017
6,7,Thunder,Imagine Dragons,84,43537945,"['modern rock', 'rock']",0.605,0.822,0,-4.833,1,0.0438,0.134,0.147,0.288,167.997,187147,4,False,1zB4vmk8tFRmM9UULNzbLB,53XhwfbYqKCa1cC15pYq2q,Evolve,2017
7,8,Don't Wanna Know (feat. Kendrick Lamar),Maroon 5,61,38687623,['pop'],0.783,0.61,7,-6.124,1,0.0696,0.0,0.0983,0.418,100.047,214265,4,False,1nueTG77MzNkJTKQ0ZdGzT,04gDigrS5kc9YWfZHwBETP,Red Pill Blues (Deluxe),2017
8,9,Something Just Like This,The Chainsmokers,84,19672668,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",0.617,0.635,11,-6.769,0,0.0317,1.44e-05,0.164,0.446,103.019,247160,4,False,6RUKPb4LETWmmr3iAEQktW,69GGBxA162lTqCwzJG5jLp,Memories...Do Not Open,2017
9,10,Perfect,Ed Sheeran,87,105408325,"['pop', 'uk pop']",0.599,0.448,8,-6.312,1,0.0232,0.0,0.106,0.168,95.05,263400,3,False,0tgVpDi06FyKpA1z0VMD4v,6eUKZXaKkcviH0Ku9w2n3V,÷ (Deluxe),2017
10,11,There's Nothing Holdin' Me Back,Shawn Mendes,85,39919244,"['canadian pop', 'dance pop', 'pop', 'viral pop']",0.866,0.813,11,-4.063,0,0.0554,0.0,0.0779,0.969,121.998,199440,4,False,7JJmb5XwzOO8jgpou264Ml,7n2wHs1TKAczGzO7Dd2rGr,Illuminate (Deluxe),2017
11,12,Say You Won't Let Go,James Arthur,85,10613993,"['pop', 'talent show', 'uk pop']",0.358,0.557,10,-7.398,1,0.059,0.0,0.0902,0.494,85.043,211467,4,False,5uCax9HTNlzGybIStD3vDh,4IWBUUAFIplrNtaOHcJPRM,Back from the Edge,2017
