,poistion,track_name,artist,popularity,followers,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
0,1,drivers license,Olivia Rodrigo,86,22101003,['pop'],0.561,0.431,10,-8.81,1,0.0578,1.42e-05,0.106,0.137,143.875,242013,4,True,5wANPM4fQCJwkGd4rN57mH,1McMsnEElThX1knmY4oliG,SOUR,2021
1,2,MONTERO (Call Me By Your Name),Lil Nas X,82,12073366,"['lgbtq+ hip hop', 'pop']",0.593,0.503,8,-6.725,0,0.22,0,0.405,0.71,178.781,137704,4,True,1SC5rEoYDGUK4NfG82494W,7jVv8c5Fj3E9VhNjxT4snq,MONTERO,2021
2,3,STAY (with Justin Bieber),The Kid LAROI,86,4093726,"['australian hip hop', 'pop']",0.591,0.764,1,-5.484,1,0.0483,0,0.103,0.478,169.928,141806,4,True,5PjdY0CKGZdEuoNab3yDmX,2tIP7SsRs7vjIcLrU85W8J,F*CK LOVE 3: OVER YOU,2021
3,4,good 4 u,Olivia Rodrigo,86,22101003,['pop'],0.563,0.664,9,-5.044,1,0.154,0,0.0849,0.688,166.928,178147,4,True,4ZtFanR9U6ndgddUvNcjcG,1McMsnEElThX1knmY4oliG,SOUR,2021
4,5,Levitating (feat. DaBaby),Dua Lipa,84,37329937,"['dance pop', 'pop', 'uk pop']",0.702,0.825,6,-3.787,0,0.0601,0,0.0674,0.915,102.977,203064,4,False,5nujrmhLynf4yMoMtj8AQF,6M2wZ9GZgrQXHCFfjv46we,Future Nostalgia,2021
5,6,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,84,67698500,"['canadian pop', 'pop']",0.677,0.696,0,-6.181,1,0.119,0,0.42,0.464,90.03,198082,4,True,4iJyoBOLtHqaGxP12qzhQI,1uNFoZAHBGtllmzznpCI3s,Justice,2021
6,7,Kiss Me More (feat. SZA),Doja Cat,80,23058904,"['dance pop', 'pop']",0.764,0.705,8,-3.463,1,0.0284,8.92e-05,0.12,0.781,110.97,208667,4,True,3DarAbFujv6eYNliUTyqtz,5cj0lLjcoR7YOSnhnX0Po5,Planet Her,2021
7,8,Blinding Lights,The Weeknd,90,53005100,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.514,0.73,1,-5.934,1,0.0598,9.54e-05,0.0897,0.334,171.005,200040,4,False,0VjIjW4GlUZAMYd2vXMi3b,1Xyo4u8uXC1ZmMpatF05PJ,After Hours,2021
8,9,Heat Waves,Glass Animals,86,3487463,"['gauze pop', 'indietronica', 'shiver pop']",0.761,0.525,11,-6.9,1,0.0944,6.7e-06,0.0921,0.531,80.87,238805,4,False,02MWAaffLxlfxAUY7c5dvx,4yvcSjfu4PC0CYQyLy4wSq,Dreamland (+ Bonus Levels),2021
9,10,Beggin',Måneskin,85,6478481,"['indie rock italiano', 'italian pop']",0.714,0.8,11,-4.808,0,0.0504,0,0.359,0.589,134.002,211560,4,False,3Wrjm47oTz2sjIgck11l5e,0lAWpj5szCSwM4rUMHYmrr,Chosen,2021
10,11,Astronaut In The Ocean,Masked Wolf,71,623567,"['australian hip hop', 'viral rap']",0.778,0.695,4,-6.865,0,0.0913,0,0.15,0.472,149.996,132780,4,True,6E90gq0KO6FYZVOXx8kCcC,1uU7g3DNSbsu0QjSEqZtEd,Astronomical,2021
11,12,DÁKITI,Bad Bunny,80,59583011,"['reggaeton', 'trap latino']",0.731,0.573,4,-10.059,0,0.0544,5.22e-05,0.113,0.145,109.928,205090,4,True,4MzXwWMhyBbmu6hOcLVD49,4q3ewBCX7sLwd24euuV69X,EL ÚLTIMO TOUR DEL MUNDO,2021
