,poistion,track_name,artist,popularity,followers,gen_1,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
0,1,Locked out of Heaven,Bruno Mars,86,44538470,Dance,0.726,0.698,5,-4.165,1,0.0431,0,0.309,0.867,143.994,233478,4,FALSE,3w3y8KPTfNeOKPiqUTakBh,0du5cEVh5yTK9QJze8zA0C,Unorthodox Jukebox,2012
1,2,Call Me Maybe,Carly Rae Jepsen,72,5171372,Pop,0.783,0.58,7,-6.548,1,0.0408,2.28E-06,0.108,0.66,120.021,193400,4,FALSE,3TGRqZ0a2l1LRblBkJoaDx,6sFIWsNpZYqfjUpaCgueju,Kiss (Deluxe),2012
2,3,We Are Young (feat. Janelle Monáe),fun.,73,3507632,Pop,0.378,0.638,10,-5.576,1,0.075,7.66E-05,0.0849,0.735,184.086,250627,4,FALSE,7a86XRg84qjasly9f6bPSD,5nCi3BB41mBaMH9gfr6Su0,Some Nights,2012
3,4,Diamonds,Rihanna,70,51162263,Pop,0.564,0.71,11,-4.92,0,0.0461,0,0.109,0.393,91.972,225147,4,FALSE,1z9kQ14XBSN0r2v6fx4IdG,5pKCCKE2ajJHZ9KAiaK11H,Unapologetic (Edited Version),2012
4,5,Lost,Frank Ocean,84,10256027,Hip Hop,0.913,0.603,8,-4.892,1,0.226,0.000503,0.167,0.497,123.061,234093,4,TRUE,3GZD6HmiNUhxXYf8Gch723,2h93pZq0e7k5yf4dywlkpM,channel ORANGE,2012
5,6,Ni**as In Paris,JAY-Z,84,7774318,Hip Hop,0.789,0.858,1,-5.542,1,0.311,0,0.349,0.775,140.022,219333,4,TRUE,4Li2WHPkuyCdtmokzW2007,3nFkdlSjzX9mRTtwJOzDYB,Watch The Throne (Deluxe),2012
6,7,What Makes You Beautiful,One Direction,83,28271703,Pop,0.726,0.787,4,-2.494,1,0.0737,0,0.0596,0.888,124.99,199987,4,FALSE,4cluDES4hQEUhmXj6TXkSo,4AK6F7OLvEQ5QYCBNiQWHq,Up All Night,2012
7,8,Paradise,Coldplay,83,40064381,Pop,0.449,0.585,5,-6.761,1,0.0268,8.75E-05,0.0833,0.212,139.631,278719,4,FALSE,6nek1Nin9q48AVZcWs9e9D,4gzpq5DPGxSnKTe4SA8HAU,Mylo Xyloto,2012
8,9,Don't You Worry Child - Radio Edit,Swedish House Mafia,80,3627238,Dance,0.612,0.84,11,-3.145,0,0.0509,0,0.116,0.438,129.042,212862,4,FALSE,2V65y3PX4DkRhy1djlxd9p,1h6Cn3P4NGzXbaXidqURXs,Don't You Worry Child,2012
9,10,A Thousand Years,Christina Perri,80,3429980,Dance,0.421,0.407,10,-7.445,1,0.0267,0.000961,0.11,0.161,139.028,285120,3,FALSE,6lanRgr6wXibZr8KgzXxBl,7H55rcKCfwqkyDFH9wpKM6,A Thousand Years,2012
10,11,Feel So Close - Radio Edit,Calvin Harris,79,22985542,Dance,0.707,0.924,7,-2.842,1,0.031,0.00703,0.204,0.919,127.937,206413,4,FALSE,1gihuPhrLraKYrJMAEONyc,7CajNmpbOovFoOoasH2HaY,18 Months,2012
