,poistion,track_name,artist,popularity,followers,genres,danceability,energy,key,loudness,mode,speechiness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,explicit,track_id,art_id,album,year
0,1,"Happy - From ""Despicable Me 2""",Pharrell Williams,80,4077572,"['hip hop', 'pop', 'pop rap']",0.647,0.822,5,-4.662,0,0.183,0,0.0908,0.962,160.019,232720,4,False,60nZcImufyMA1MKQY3dcCH,2RdwBSPQiwcmiDo9kixcl8,G I R L,2014
1,2,Dark Horse,Katy Perry,80,23652014,"['dance pop', 'pop']",0.647,0.585,6,-6.123,1,0.0512,0,0.165,0.353,131.934,215672,4,False,4jbmgIyjGoXjY01XxatOx6,6jJ0s89eD6GaHleKKya26X,PRISM,2014
2,3,Night Changes,One Direction,87,28271703,"['boy band', 'pop', 'post-teen pop', 'talent show']",0.672,0.52,8,-7.747,1,0.0353,0,0.115,0.37,120.001,226600,4,False,5O2P9iiztwhomNh8xkR9lJ,4AK6F7OLvEQ5QYCBNiQWHq,FOUR (Deluxe),2014
3,4,Fancy,Iggy Azalea,67,6174903,"['australian hip hop', 'dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'rap', 'viral rap']",0.912,0.716,10,-4.141,0,0.0697,0,0.0491,0.377,94.981,199938,4,True,3oiMJQAWVaxSubJ7b2VUtX,5yG7ZAZafVaAlMTeBybKAL,The New Classic (Deluxe Version),2014
4,5,I'm Not The Only One,Sam Smith,87,20838804,"['dance pop', 'pop', 'uk pop']",0.677,0.485,5,-5.795,1,0.0361,2.04e-05,0.0766,0.493,82.001,239317,4,False,7795WJLVKJoAyVoOtCWqXN,2wY79sveU1sp5g7SokKOiI,In The Lonely Hour,2014
5,6,Stay With Me,Sam Smith,84,20838804,"['dance pop', 'pop', 'uk pop']",0.418,0.42,0,-6.444,1,0.0414,6.39e-05,0.11,0.184,84.094,172724,4,False,5Nm9ERjJZ5oyfXZTECKmRt,2wY79sveU1sp5g7SokKOiI,In The Lonely Hour,2014
6,7,Rude,MAGIC!,80,1288632,['reggae fusion'],0.773,0.758,1,-4.993,1,0.0381,0,0.305,0.925,144.033,224840,4,False,6RtPijgfPKROxEzTHNRiDp,0DxeaLnv6SyYk2DOqkLO8c,Don't Kill the Magic,2014
7,8,Chandelier,Sia,70,24949389,"['australian dance', 'australian pop', 'dance pop', 'pop']",0.399,0.787,1,-2.88,1,0.0499,6.07e-05,0.0685,0.572,117.089,216120,5,False,2s1sdSqGcKxpPr5lCl7jAV,5WUlDfRSoLAfcVSX1WnrxN,1000 Forms Of Fear (Deluxe Version),2014
8,9,All of Me,John Legend,84,6311563,"['neo soul', 'pop', 'pop soul', 'r&b', 'urban contemporary']",0.422,0.264,8,-7.064,1,0.0322,0,0.132,0.331,119.93,269560,4,False,3U4isOIWM3VvDubwSI3y7a,5y2Xq6xcjJb2jVM54GHK3t,Love In The Future (Expanded Edition),2014
9,10,Only Love Can Hurt Like This,Paloma Faith,86,1117191,"['british soul', 'dance pop']",0.566,0.885,8,-4.528,1,0.0818,9.97e-05,0.334,0.304,90.99,232893,4,False,62ke5zFUJN6RvtXZgVH0F8,4fwuXg6XQHfdlOdmw36OHa,A Perfect Contradiction (Outsiders' Expanded Edition),2014
